,1
0,0.09892135156555948
1,0.10167220052760217
2,0.07302970232422146
3,0.0642646287792139
4,0.11574596327235276
5,0.09904170889031105
6,0.10868071337482832
7,0.044311713596438596
8,0.13683233324195765
9,0.0643881893477487
10,0.09304902216001565
11,0.06483595328555791
12,0.10360858384007832
13,0.10734802943620103
14,0.08017169637226029
15,0.06973778380962137
16,0.11939529810448324
17,0.10409136943128716
18,0.11358445353026847
19,0.04908699461028265
20,0.14054774450012952
21,0.07090606283678125
22,0.09807671166946086
23,0.06889600051215106
24,0.1711299789487174
25,0.17405393012721815
26,0.1317917213881119
27,0.1236531833659702
28,0.19411941919142994
29,0.17196209281538222
30,0.18307140351658702
31,0.09573257359520759
32,0.2202430961215467
33,0.12101125283681413
34,0.1634486236897028
35,0.12811291228725885
36,0.10856598157342179
37,0.11168582771456892
38,0.08278533220214424
39,0.07289275334579781
40,0.12609233396651176
41,0.1089267839076502
42,0.11859364793101834
43,0.0511951239823335
44,0.14822638406186806
45,0.07354911447601942
46,0.10240466881537647
47,0.07361356909566119
